avatar_subtle,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,z1,z2,human_annotation,subtle_super_clusters,subtle_sub_clusters,Corrlation,moving,moving2,cca,ccf
49,7.7272,2.0875,0.52057,7.6133,2.8184,0.97782,3.5887,4.233,0.51126,6.2138,3.3626,0.85089,4.4275,3.0067,0.27478,4.1617,5.9767,0.48662,7.095,4.1342,0.49343,7.5625,4.9225,0.646,-1.4166,2.5091,-0.065227,1.7855295,1.0758405,walking,4,42,na,False,False,,
50,7.602,1.7393,0.50543,7.4298,2.5303,0.94367,3.5887,4.2371,0.50976,6.2138,3.2342,0.83658,4.4275,3.0067,0.2773,4.1617,5.9767,0.48443,7.095,4.0333,0.49945,7.5625,4.4092,0.66572,-1.4166,2.5091,-0.065227,1.8593866,1.0606444,walking,4,42,na,False,False,,
51,7.4841,1.6635,0.50543,7.1887,2.2722,0.92686,3.5887,4.2465,0.50976,6.2138,3.0353,0.82678,4.4275,3.0067,0.27749,4.1617,5.9767,0.48277,6.9758,3.8133,0.50896,7.5625,4.3175,0.67367,-1.4166,2.5091,-0.065227,1.8070586,0.82617384,walking,4,42,na,False,False,,
52,7.4625,1.4509,0.49807,7.1887,1.9133,0.91112,3.5887,4.2817,0.5077,6.2138,2.8714,0.81325,4.4275,3.0067,0.27767,4.1617,5.9767,0.48071,6.8567,3.5933,0.51521,7.5625,4.2808,0.68792,-1.4166,2.5091,-0.065227,2.1182182,1.1046195,walking,4,42,na,False,False,,
53,7.4207,1.2145,0.49807,7.1887,1.736,0.91112,3.5887,4.3223,0.50677,6.2138,2.7927,0.81325,4.4275,3.0067,0.27829,4.1617,5.9767,0.4778,6.8017,3.2542,0.51659,7.5625,4.2625,0.69568,-1.4166,2.5091,-0.065227,1.9345651,1.2209363,walking,4,42,na,False,False,,
54,7.4015,0.96994,0.49807,7.1887,1.6166,0.91112,3.5887,4.3645,0.50447,6.2138,2.7245,0.81325,4.4275,3.0067,0.28039,4.1617,5.9767,0.47364,6.71,2.8417,0.51762,7.5625,4.235,0.70639,-1.4166,2.5091,-0.065227,2.0719562,0.51359844,walking,4,54,na,False,False,,
55,7.3932,0.73721,0.49807,7.1887,1.5198,0.91112,3.5887,4.402,0.5022,6.2138,2.6563,0.82678,4.4275,3.0067,0.28205,4.1617,5.9767,0.47364,6.6733,2.7683,0.51762,7.5625,4.1983,0.71687,-1.4166,2.5091,-0.065227,2.3851619,1.0003493,walking,4,54,na,False,False,,
56,7.3799,0.56054,0.49807,7.1887,1.3542,0.92686,3.5972,4.4097,0.49935,6.2138,2.584,0.82732,4.4275,3.0158,0.28224,4.1617,5.9675,0.47364,6.6733,2.7683,0.51762,7.5625,4.1433,0.72544,-1.4166,2.5091,-0.065227,2.3886416,1.1811156,walking,4,31,na,False,False,,
57,7.364,0.33497,0.49807,7.1887,1.0695,0.92686,3.5972,4.4097,0.49042,6.2138,2.421,0.82732,4.4275,3.0158,0.28329,4.1708,5.9583,0.47364,6.4442,2.4567,0.51762,7.5625,3.96,0.7339,-1.4166,2.5091,-0.065227,2.434538,1.2355032,walking,4,31,na,False,False,,
58,7.364,0.026503,0.49807,7.1887,0.73787,0.92686,3.6177,4.4332,0.49042,6.2138,2.1787,0.82732,4.4275,3.025,0.28433,4.18,5.9308,0.46684,6.1692,2.0075,0.51762,7.5717,3.4192,0.73464,-1.4166,2.5091,-0.065227,2.11086,2.1443837,walking,4,53,na,True,False,,
59,7.364,-0.25311,0.49807,7.1887,0.3488,0.91112,3.7125,4.4586,0.47823,6.2138,1.9611,0.82732,4.4275,3.025,0.28495,4.2625,5.8667,0.28307,6.1142,1.8608,0.51824,7.5717,3.025,0.73496,-1.4166,2.5091,-0.065227,1.8661201,2.5377123,walking,4,53,na,True,False,,
60,7.364,-0.48995,0.50543,7.1887,-0.023377,0.94207,3.8786,4.4586,0.47149,6.2138,1.7232,0.82732,4.4458,3.025,0.28662,5.335,5.4358,0.078782,6.105,1.8425,0.56765,7.5808,3.0158,0.73496,-1.4166,2.5091,-0.065227,2.232297,2.3126793,walking,4,53,na,True,False,,
61,7.364,-0.89779,0.50543,7.1887,-0.34605,0.97782,4.1443,4.4586,0.47149,6.3343,1.4527,0.82732,4.4642,3.0158,0.31691,6.6733,4.9592,0.02418,6.105,1.8333,0.56737,7.6083,3.0067,0.73496,-1.4166,2.5091,-0.065227,3.1388016,2.480622,walking,3,63,na,True,False,,
62,7.364,-1.3384,0.50543,7.1887,-0.64583,1.0065,4.3898,4.4586,0.47149,6.5295,1.2715,0.82732,4.5008,3.0158,0.33955,7.0217,4.8675,-0.010454,6.105,1.8058,0.61173,7.6542,2.6583,0.73496,-0.80474,4.3132,0.18501,3.2736995,2.535959,walking,3,63,na,True,False,,
63,7.364,-1.5765,0.50543,7.1887,-0.7864,1.0199,4.6229,4.4586,0.47149,6.6389,1.1643,0.82732,4.565,3.0158,0.33955,7.0217,4.8583,-0.055321,6.105,1.7783,0.61173,7.7092,1.5858,0.73551,-0.12854,6.3431,0.43982,3.2661126,2.4103303,walking,3,63,na,True,False,,
64,7.364,-1.6188,0.50543,7.1887,-0.90808,1.0301,4.911,4.4586,0.46938,6.6795,1.0527,0.82732,4.62,3.0067,0.33955,7.0308,4.8492,-0.09414,6.105,1.7692,0.61173,7.7367,0.825,0.73554,0.1585,6.9603,0.49686,3.2701893,2.3192904,walking,3,63,na,False,False,,
65,7.364,-1.6705,0.50543,7.1887,-1.0221,1.0391,5.0555,4.4332,0.4657,6.7547,0.97751,0.82702,4.6567,3.0067,0.33955,7.04,4.84,-0.09414,6.105,1.76,0.61173,7.755,0.77917,0.73554,0.53037,7.4688,0.55884,2.6927004,2.2622614,walking,4,31,na,False,False,,
66,7.364,-1.7419,0.51776,7.273,-1.0725,1.0391,5.0775,4.4097,0.46099,6.8595,0.93855,0.81922,4.675,3.0067,0.33955,7.04,4.84,-0.09414,6.105,1.76,0.61173,7.7825,0.76083,0.73554,0.72983,7.4688,0.55884,2.5125797,2.239963,walking,4,31,na,False,False,,
67,7.364,-1.8076,0.51776,7.4365,-1.1144,1.0671,5.0854,4.4097,0.45695,6.9103,0.88798,0.7974,4.675,3.0067,0.33981,7.04,4.84,-0.09414,6.105,1.76,0.61173,7.7917,0.75167,0.73603,0.80966,7.4688,0.55884,1.8078754,1.7900833,walking,4,6,na,False,False,,
68,7.364,-1.8656,0.51776,7.4503,-1.147,1.0671,5.0901,4.3659,0.45695,6.9265,0.8543,0.76886,4.6842,3.0067,0.33981,7.04,4.84,-0.094817,6.105,1.76,0.56094,7.7917,0.75167,0.73778,0.8486,7.4688,0.57119,1.9730574,1.194275,walking,4,42,na,False,False,,
69,7.364,-1.9716,0.51776,7.4555,-1.1835,1.0671,5.0996,4.2878,0.45695,6.9377,0.84627,0.74755,4.6933,3.0067,0.33981,7.04,4.84,-0.094817,6.105,1.7508,0.56094,7.7917,0.75167,0.73603,0.85827,7.4688,0.57119,2.1656117,0.9673073,walking,4,42,na,False,False,,
70,7.3849,-2.068,0.51776,7.458,-1.2192,1.0391,5.1091,4.2465,0.45695,6.941,0.83232,0.73954,4.6933,3.0067,0.33981,7.0492,4.84,-0.096067,6.105,1.7417,0.56094,7.7917,0.75167,0.73554,0.863,7.4688,0.57119,1.9138008,0.93073183,walking,4,42,na,False,False,,
71,7.4015,-2.0932,0.54248,7.4606,-1.2544,1.0301,5.1148,4.2465,0.45695,6.9431,0.81568,0.73659,4.6933,3.0067,0.33981,7.0583,4.84,-0.096067,6.105,1.7417,0.56094,7.7917,0.75167,0.73502,0.87267,7.4688,0.57119,1.8502232,0.99323696,walking,4,42,na,False,False,,
72,7.4288,-2.1244,0.58732,7.4659,-1.293,1.0199,5.1196,4.2465,0.46099,6.9463,0.79916,0.73659,4.6933,3.0067,0.33981,7.0583,4.84,-0.096067,6.105,1.7417,0.56094,7.7917,0.7425,0.73502,0.87806,7.4688,0.57119,1.5075165,0.9358492,walking,4,42,na,False,False,,
73,7.6925,-2.1577,0.64539,7.5306,-1.337,1.0042,5.1197,4.2465,0.4657,6.9596,0.78477,0.73659,4.7025,3.0067,0.33981,7.0583,4.8308,-0.096067,6.105,1.7325,0.5606,7.7917,0.73333,0.73502,0.89179,7.4688,0.57119,1.6893027,1.3646948,walking,4,42,na,False,False,,
74,8.1076,-2.1931,0.69226,7.7442,-1.3499,0.98226,5.1485,4.2336,0.4657,7.0475,0.77927,0.73659,4.8033,3.0067,0.33981,7.0675,4.8217,-0.096067,6.1142,1.7142,0.54231,7.7917,0.73333,0.73502,1.0044,7.4688,0.57119,1.9787744,1.6231748,walking,4,6,na,False,False,,
75,8.3874,-2.211,0.69226,7.9651,-1.3538,0.98226,5.208,4.1987,0.4657,7.2049,0.76731,0.73659,4.9408,2.7225,0.33981,7.0767,4.8217,-0.10188,6.1325,1.6867,0.53707,7.7917,0.73333,0.73502,1.2125,7.4688,0.57119,1.9154717,1.5791582,walking,4,6,na,False,False,,
76,8.4388,-2.2554,0.72339,8.0776,-1.3912,0.98226,5.2388,4.1194,0.4657,7.3475,0.75404,0.73659,5.1333,2.4108,0.33981,7.0858,4.8217,-0.11041,6.215,1.5767,0.53707,7.8008,0.73333,0.73502,1.3603,7.4688,0.57119,2.0781353,1.7416668,walking,4,31,na,False,False,,
77,8.4388,-2.3042,0.72339,8.0776,-1.4633,0.98226,5.2388,4.0893,0.4657,7.3617,0.66201,0.72677,5.2892,2.3833,0.33347,7.095,4.8125,-0.11408,6.545,0.87083,0.51437,7.81,0.72417,0.73502,1.4338,7.4688,0.57119,1.9181198,1.6721263,walking,4,6,na,True,False,,
78,8.4388,-2.356,0.72339,8.0776,-1.4991,0.98226,5.2388,4.0109,0.4657,7.3617,0.49487,0.71373,5.2983,2.3742,0.33347,7.095,4.7758,-0.1152,7.1867,-0.34833,0.40335,7.8192,0.715,0.73496,1.536,7.4688,0.57119,1.8871872,1.7626307,walking,4,6,na,True,False,,
79,8.4388,-2.5562,0.72339,8.0776,-1.7843,0.98226,5.2388,3.8157,0.4657,7.4256,0.29234,0.71373,5.2983,2.365,0.33347,7.095,4.7392,-0.11721,7.5717,-0.95333,0.3657,7.8467,0.715,0.73418,1.7466,7.4688,0.57119,1.9181582,1.5747813,walking,4,6,na,False,False,,
80,8.4388,-2.7337,0.72339,8.0776,-2.1588,0.98226,5.2388,3.6932,0.4657,7.4256,0.099795,0.71373,5.2983,2.3558,0.33342,7.095,4.7208,-0.11721,7.59,-0.9625,0.33758,7.865,0.70583,0.73217,2.0621,7.3553,0.55884,1.8760056,1.4196208,walking,4,42,na,False,False,,
81,8.4388,-2.8698,0.72339,8.0776,-2.3076,0.98226,5.2388,3.6932,0.4657,7.4256,0.014074,0.70443,5.2983,2.3375,0.33337,7.095,4.7025,-0.11721,7.6267,-0.98083,0.32505,7.865,0.66917,0.72849,2.3655,7.2901,0.52679,1.8106031,0.68511,walking,4,26,na,False,False,,
82,8.4388,-3.0075,0.72339,8.0776,-2.4059,0.98226,5.2388,3.6932,0.4657,7.4256,-0.0049567,0.6975,5.2983,2.3283,0.33337,7.095,4.6842,-0.11721,7.645,-0.99917,0.31877,8.1125,0.385,0.72302,2.5294,7.2677,0.47141,2.0466297,0.622689,walking,4,54,na,True,False,,
83,8.4388,-3.0416,0.67652,8.0776,-2.48,0.97606,5.2388,3.5167,0.52107,7.4469,-0.0049567,0.6975,5.2983,2.3283,0.33337,7.095,4.6842,-0.11721,7.645,-1.0083,0.31549,8.6167,-0.29333,0.71164,2.5628,7.2677,0.47141,1.8379017,0.4468724,walking,4,26,na,False,False,,
