,z1,z2,y,y_
211,2.0617163,9.488692,na,3
212,2.0524623,9.492361,na,3
213,1.8621306,9.415065,na,3
214,1.8500167,9.451473,na,3
215,1.679487,9.50798,na,3
216,1.7276303,9.495469,na,3
217,1.644057,9.42312,na,3
218,1.6402764,9.46768,na,3
219,1.6488438,9.482643,na,3
220,1.6341904,9.427681,na,3
221,-1.2624449,7.7570214,na,0
222,-1.5955658,7.7534986,na,0
223,-1.6162236,7.495589,na,0
224,-1.6193975,7.362673,na,0
225,-1.6041201,7.0861754,na,0
226,-1.5632749,7.0054474,na,0
227,-1.5544505,6.7848415,na,0
228,-1.2679372,6.531478,rearing,0
229,-1.2387363,6.4523454,rearing,0
230,-1.1674955,6.4055624,rearing,0
231,-1.2575934,6.382629,rearing,0
232,-1.2910432,6.4297233,rearing,0
233,-1.2652571,6.488287,rearing,0
234,-1.5986987,6.5593,rearing,0
235,-2.0869367,6.7789598,rearing,0
236,-2.4290707,7.022827,rearing,0
237,-2.8274057,7.313801,rearing,0
238,-3.2295704,7.4207315,rearing,0
239,-3.2904985,7.4474926,rearing,0
240,-3.2545626,7.4658256,rearing,0
241,-3.1335104,7.4144344,rearing,0
242,-2.8114936,7.6907606,rearing,0
243,-2.460029,7.69178,rearing,0
244,-2.250994,8.030136,rearing,0
245,-2.0455363,8.6453285,na,0
246,-0.83555776,9.322801,na,1
247,-0.7500089,9.444063,na,1
248,-0.76109976,9.545089,na,1
249,-0.7482748,9.706791,na,1
250,-0.64861286,9.770481,na,1
251,-0.64194846,10.020722,na,1
252,-0.49354464,10.686794,na,1
253,-0.6677992,10.8309145,na,1
254,-0.7036645,10.9372835,na,1
255,-0.7505833,10.916,na,1
256,-0.77054167,11.014456,na,1
257,-0.7044437,11.008348,na,1
258,-0.6676551,11.010168,walking,1
259,-0.60755545,11.062927,walking,1
260,-0.4094132,10.971051,walking,1
261,-0.30427486,10.9322195,walking,1
262,-0.098414905,10.829662,walking,1
263,0.095533244,10.216687,walking,1
264,0.13486348,10.0730715,walking,1
265,0.09741712,9.862248,walking,1
266,0.07079164,9.722117,walking,1
267,-0.053389143,9.616603,walking,1
268,-0.030677602,9.439826,walking,1
269,-0.13083532,9.209928,na,1
270,-0.20052612,9.160711,na,1
271,-0.2058837,9.071346,na,1
272,-0.24451913,9.025238,na,0
273,-0.2638231,9.10159,na,1
274,-0.31220904,9.005154,na,0
275,-0.30923167,9.01428,na,0
276,-0.2491487,8.961646,na,0
277,-0.69761884,7.858569,na,0
278,-0.93218625,7.7416134,na,0
279,-0.97675616,7.757106,na,0
280,-0.965366,7.6575174,na,0
281,-1.016334,7.517846,na,0
282,-1.0260618,7.610582,na,0
283,-1.072515,7.57997,na,0
284,-0.98249173,7.459503,na,0
285,-0.9448279,7.3261013,na,0
286,-0.74447566,6.876392,na,0
287,-0.738593,6.699347,na,0
288,-0.7033772,6.555099,rearing,0
289,-0.7131386,6.5554557,rearing,0
290,-0.6850574,6.5757,rearing,0
291,-0.85665625,6.5593543,rearing,0
292,-1.0258722,6.5960608,rearing,0
293,-1.1285793,6.676185,rearing,0
294,-1.6963693,6.973443,rearing,0
295,-1.9223667,7.2875695,rearing,0
296,-2.4694302,7.4767313,rearing,0
297,-2.67617,7.7483783,rearing,0
298,-2.760694,7.795074,rearing,0
299,-2.70225,7.880043,rearing,0
300,-2.4293692,8.049914,rearing,0
301,-2.2647316,8.229259,rearing,0
302,-2.0949743,8.515252,rearing,0
303,-1.9409834,8.477122,rearing,0
304,0.012534712,12.5508375,rearing,1
305,0.05090178,12.559946,rearing,1
306,0.16607301,12.796064,na,1
307,0.030833524,12.898322,na,1
308,0.078627,13.009357,na,1
309,0.055402614,13.058703,na,1
310,0.08436144,12.956869,na,1
311,0.1154298,13.046696,na,1
312,0.21823113,12.882164,walking,1
313,0.42397767,12.747343,walking,1
314,0.5591742,12.646786,walking,1
315,0.683176,12.436721,walking,1
316,0.74482036,12.443647,walking,1
317,0.785791,12.257192,walking,1
318,0.8167221,12.273992,walking,1
319,0.71003145,12.231627,walking,1
320,0.8295643,12.172391,na,1
321,0.8495645,12.256271,na,1
322,1.0216275,12.239884,na,1
323,1.4385151,12.194086,na,1
324,1.4058071,12.341066,na,1
325,1.4072936,12.336984,na,1
326,1.6218107,12.23489,na,1
327,1.8647549,12.28028,na,1
328,1.9056861,12.261714,na,1
329,1.9135665,12.302602,na,1
330,1.9654255,12.253042,na,1
331,1.9643662,12.259047,na,1
332,2.0117726,12.1600895,na,1
333,2.226308,11.981833,na,1
334,3.3727999,11.06946,na,3
335,3.4222262,11.00602,na,3
336,3.3827324,10.983164,standing,3
337,3.4419975,10.990088,standing,3
338,3.442235,10.9865055,standing,3
339,3.4325764,10.973199,standing,3
340,3.262019,10.834688,standing,3
341,3.2672446,10.871338,standing,3
342,3.0292213,10.7059765,standing,3
343,2.9422941,10.70958,standing,3
344,2.7790816,10.62292,standing,3
345,2.7544656,10.625437,standing,3
346,2.7886198,10.615935,standing,3
347,2.657778,10.592225,standing,3
348,2.6558595,10.589854,standing,3
349,2.6220465,10.618105,na,3
350,2.5765455,10.6154,na,3
351,2.447272,10.620138,na,3
352,2.3705091,10.579244,na,3
353,2.3378363,10.54087,na,3
354,2.302351,10.515417,na,3
355,2.3574317,10.519159,na,3
356,2.3458724,10.544653,na,3
357,2.3567963,10.558603,na,3
358,2.3821595,10.502015,na,3
359,2.4071398,10.565366,na,3
360,2.3436987,10.401843,na,3
361,2.4411383,10.489153,standing,3
362,2.308236,10.371148,standing,3
363,2.23027,10.322105,standing,3
364,2.2024117,10.368309,standing,3
365,2.246204,10.310312,standing,3
366,2.1455426,10.32386,standing,3
367,2.079016,10.304209,standing,3
368,1.9844314,10.311288,standing,3
369,1.9285002,10.303419,standing,3
370,1.7375005,10.366405,standing,3
371,1.3037832,10.597454,na,1
372,0.94857544,10.620825,na,1
373,0.08032258,11.019121,na,1
374,-0.049097225,10.996658,na,1
375,-0.16958857,11.0142975,na,1
376,-0.2318359,11.011954,na,1
377,-0.17000683,10.960528,na,1
378,-0.2907084,11.0153055,na,1
379,-0.29253772,11.025981,na,1
380,-0.37394586,11.0529375,na,1
